"중랑구","75~79세",5735,7035
"중랑구","80~84세",2944,4219
"중랑구","85세이상",1167,3019
"성북구","합계",213832,231495
"성북구","0~4세",7106,6661
"성북구","5~9세",8568,8169
"성북구","10~14세",8697,8055
"성북구","15~19세",11478,12526
"성북구","20~24세",17977,23723
"성북구","25~29세",18544,17701
"성북구","30~34세",14317,14386
"성북구","35~39세",16456,16541
"성북구","40~44세",15656,15910
"성북구","45~49세",18947,19376
"성북구","50~54세",17087,17272
"성북구","55~59세",15694,17186
"성북구","60~64세",14298,15766
"성북구","65~69세",9807,11222
"성북구","70~74세",7637,9810
"성북구","75~79세",6356,8238
"성북구","80~84세",3571,5331
"성북구","85세이상",1636,3622
"강북구","합계",147112,156759
"강북구","0~4세",3986,3780
"강북구","5~9세",4877,4584
"강북구","10~14세",5075,4810
"강북구","15~19세",6476,6328
"강북구","20~24세",9349,10851
"강북구","25~29세",11348,11270
"강북구","30~34세",9693,9063
"강북구","35~39세",11372,10230
"강북구","40~44세",10730,10104
"강북구","45~49세",12981,12843
"강북구","50~54세",12153,13157
"강북구","55~59세",12609,13780
"강북구","60~64세",11663,12970
"강북구","65~69세",8108,9917
"강북구","70~74세",6796,8902
"강북구","75~79세",5711,7158
"강북구","80~84세",2968,4334
"강북구","85세이상",1217,2678
"도봉구","합계",156961,166582
"도봉구","0~4세",4771,4414
"도봉구","5~9세",5719,5358
"도봉구","10~14세",5920,5561
"도봉구","15~19세",7721,7726
"도봉구","20~24세",10340,10959
"도봉구","25~29세",11480,11171
"도봉구","30~34세",9870,9533
"도봉구","35~39세",11661,11075
"도봉구","40~44세",10764,10858
"도봉구","45~49세",13370,14060
"도봉구","50~54세",13136,14699
"도봉구","55~59세",13752,15297
"도봉구","60~64세",13100,14429
"도봉구","65~69세",8973,9497
"도봉구","70~74세",6784,7762
"도봉구","75~79세",5353,6569
"도봉구","80~84세",2858,4323
"도봉구","85세이상",1389,3291
"노원구","합계",252662,269818
"노원구","0~4세",7858,7467
"노원구","5~9세",10238,9569
"노원구","10~14세",12466,11535
"노원구","15~19세",16510,15541
"노원구","20~24세",20761,20448
"노원구","25~29세",18323,16725
"노원구","30~34세",14949,14829
"노원구","35~39세",17724,18166
"노원구","40~44세",18185,19812
"노원구","45~49세",23507,25751
"노원구","50~54세",21811,23049
"노원구","55~59세",20129,21908
"노원구","60~64세",17453,20047
"노원구","65~69세",12011,13537
"노원구","70~74세",8714,10937
"노원구","75~79세",6549,9269
"노원구","80~84세",3585,6449
"노원구","85세이상",1889,4779
"은평구","합계",222076,239454
"은평구","0~4세",7394,7076
"은평구","5~9세",8651,8100
"은평구","10~14세",9023,8362
"은평구","15~19세",11085,10784
"은평구","20~24세",13650,14238
"은평구","25~29세",16508,17905
"은평구","30~34세",15167,16054
"은평구","35~39세",18576,18295
"은평구","40~44세",16983,17156
"은평구","45~49세",19876,20535
"은평구","50~54세",18001,19343
"은평구","55~59세",17630,19748
"은평구","60~64세",16207,18365
"은평구","65~69세",11116,13314
"은평구","70~74세",9097,11348
"은평구","75~79세",7324,9142
"은평구","80~84세",4026,5831
"은평구","85세이상",1762,3858
"서대문구","합계",149113,170281
"서대문구","0~4세",5003,4693
"서대문구","5~9세",5338,5172
"서대문구","10~14세",5218,5171
"서대문구","15~19세",7193,8934
"서대문구","20~24세",12781,20573
"서대문구","25~29세",14446,15331
"서대문구","30~34세",10846,11069
"서대문구","35~39세",11535,11747
"서대문구","40~44세",10623,10626
"서대문구","45~49세",12489,12881
"서대문구","50~54세",11566,12522
"서대문구","55~59세",11310,12311
"서대문구","60~64세",9998,11072
"서대문구","65~69세",6678,7909
"서대문구","70~74세",5422,7133
"서대문구","75~79세",4600,6155
"서대문구","80~84세",2795,4208
"서대문구","85세이상",1272,2774
"마포구","합계",173893,195434
"마포구","0~4세",6658,6348
"마포구","5~9세",6590,6551
"마포구","10~14세",6648,6443
"마포구","15~19세",7727,8089
"마포구","20~24세",12820,16865
"마포구","25~29세",16593,19494
"마포구","30~34세",14920,17294
"마포구","35~39세",16279,16857
"마포구","40~44세",13949,14738
"마포구","45~49세",15528,15969
"마포구","50~54세",13175,13837
"마포구","55~59세",12200,13004
"마포구","60~64세",10174,11715
"마포구","65~69세",6684,8109
"마포구","70~74세",5345,7351
"마포구","75~79세",4585,6054
"마포구","80~84세",2681,3988
"마포구","85세이상",1337,2728
"양천구","합계",216078,224276
"양천구","0~4세",6771,6430
"양천구","5~9세",9844,9257
"양천구","10~14세",12215,11217
"양천구","15~19세",13378,12396
"양천구","20~24세",14111,13046
"양천구","25~29세",14578,14604
"양천구","30~34세",12969,13120
"양천구","35~39세",15697,16328
"양천구","40~44세",16286,18377
"양천구","45~49세",21020,22411
"양천구","50~54세",19547,19893
"양천구","55~59세",18075,18431
"양천구","60~64세",15134,16471
"양천구","65~69세",10503,11010
"양천구","70~74세",7405,8093
"양천구","75~79세",4887,5937
"양천구","80~84세",2415,4090
"양천구","85세이상",1243,3165
"강서구","합계",277365,296732
"강서구","0~4세",10769,10202
"강서구","5~9세",11480,10963
"강서구","10~14세",10582,10124
"강서구","15~19세",12230,12193
"강서구","20~24세",15712,17243
"강서구","25~29세",23179,26899
"강서구","30~34세",24354,24613
"강서구","35~39세",26851,25329
"강서구","40~44세",22096,21749
"강서구","45~49세",22956,23071
"강서구","50~54세",20264,22119
"강서구","55~59세",21177,24163
"강서구","60~64세",19894,23102
"강서구","65~69세",13733,15440
"강서구","70~74세",10463,11303
"강서구","75~79세",6608,8079
"강서구","80~84세",3284,5631
"강서구","85세이상",1733,4509
"구로구","합계",217373,218187
"구로구","0~4세",7867,7559
"구로구","5~9세",8256,7968
"구로구","10~14세",7352,6994
"구로구","15~19세",8671,7876
"구로구","20~24세",11641,12080
"구로구","25~29세",16241,16820
"구로구","30~34세",17034,16516
"구로구","35~39세",19287,17643
"구로구","40~44세",17434,15410
"구로구","45~49세",19182,17515
"구로구","50~54세",18099,17789
"구로구","55~59세",18889,19355
"구로구","60~64세",16877,18213
"구로구","65~69세",11593,12856
"구로구","70~74세",8727,9348
"구로구","75~79세",5914,6909
"구로구","80~84세",3050,4378
"구로구","85세이상",1259,2958
"금천구","합계",127242,122505
"금천구","0~4세",3800,3579
"금천구","5~9세",3721,3576
"금천구","10~14세",3478,3391
"금천구","15~19세",4331,4340
"금천구","20~24세",7182,7211
"금천구","25~29세",11716,10648
"금천구","30~34세",11041,8960
"금천구","35~39세",10704,8637
"금천구","40~44세",9064,7646
"금천구","45~49세",10904,9924
"금천구","50~54세",11445,11277
"금천구","55~59세",12443,12111
"금천구","60~64세",10315,10488
"금천구","65~69세",6736,7168
"금천구","70~74세",4696,5356
"금천구","75~79세",3343,4020
"금천구","80~84세",1621,2436
"금천구","85세이상",702,1737
"영등포구","합계",196903,197180
"영등포구","0~4세",7144,6818
"영등포구","5~9세",6326,6188
"영등포구","10~14세",5745,5169
"영등포구","15~19세",6773,6094
"영등포구","20~24세",9832,11265
"영등포구","25~29세",17237,18713
"영등포구","30~34세",19003,17740
"영등포구","35~39세",18459,16238
"영등포구","40~44세",15114,13324
"영등포구","45~49세",16843,15237
"영등포구","50~54세",16394,15962
"영등포구","55~59세",17084,17226
"영등포구","60~64세",15136,15413
"영등포구","65~69세",9538,10413
"영등포구","70~74세",7058,7874
"영등포구","75~79세",4948,6339
"영등포구","80~84세",2962,4157
"영등포구","85세이상",1307,3010
"동작구","합계",194049,206319
"동작구","0~4세",6385,6229
"동작구","5~9세",6891,6536
"동작구","10~14세",6473,6118
"동작구","15~19세",8580,8639
"동작구","20~24세",15721,17950
"동작구","25~29세",19693,19575
"동작구","30~34세",16227,15945
"동작구","35~39세",16380,15801
"동작구","40~44세",14376,13915
"동작구","45~49세",15529,15379
"동작구","50~54세",14004,15446
"동작구","55~59세",14613,16147
"동작구","60~64세",12957,15067
"동작구","65~69세",9068,10744
"동작구","70~74세",7048,8979
"동작구","75~79세",5712,6555
"동작구","80~84세",2990,4276
"동작구","85세이상",1402,3018
"관악구","합계",254082,253746
"관악구","0~4세",6388,5946
"관악구","5~9세",6677,6352
"관악구","10~14세",6509,6154
"관악구","15~19세",9158,8784
"관악구","20~24세",18879,23261
"관악구","25~29세",35815,33927
"관악구","30~34세",27235,22379
"관악구","35~39세",22439,18715
"관악구","40~44세",17951,15348
"관악구","45~49세",19499,17377
"관악구","50~54세",17416,17896
"관악구","55~59세",17718,19092
"관악구","60~64세",15726,18036
"관악구","65~69세",11512,13475
"관악구","70~74세",9209,11015
"관악구","75~79세",7051,8260
"관악구","80~84세",3527,4706
"관악구","85세이상",1373,3023
"서초구","합계",194195,210765
"서초구","0~4세",7452,7057
"서초구","5~9세",10237,9441
"서초구","10~14세",10374,9949
"서초구","15~19세",10694,10683
"서초구","20~24세",11325,12060
"서초구","25~29세",13716,15220
"서초구","30~34세",13623,15629
"서초구","35~39세",15878,18138
"서초구","40~44세",16000,18318
"서초구","45~49세",19084,20280
"서초구","50~54세",15833,16098
"서초구","55~59세",13538,14734
"서초구","60~64세",12045,14059
"서초구","65~69세",8560,10027
"서초구","70~74세",6984,8034
"서초구","75~79세",4962,5132
"서초구","80~84세",2593,3133
"서초구","85세이상",1297,2773
"강남구","합계",244403,264796
"강남구","0~4세",7611,7212
"강남구","5~9세",11016,10055
"강남구","10~14세",13377,12203
"강남구","15~19세",14972,13869
"강남구","20~24세",14654,15168
"강남구","25~29세",18231,20611
"강남구","30~34세",17805,20335
"강남구","35~39세",19670,22941
"강남구","40~44세",19648,23172
"강남구","45~49세",24068,26193
"강남구","50~54세",20990,20953
"강남구","55~59세",17276,18190
"강남구","60~64세",14747,17442
"강남구","65~69세",10706,12804
"강남구","70~74세",8934,9961
"강남구","75~79세",6093,6340
"강남구","80~84세",3086,3833
"강남구","85세이상",1519,3514
"송파구","합계",313725,334875
"송파구","0~4세",12813,11681
"송파구","5~9세",14026,13360
"송파구","10~14세",13803,13211
"송파구","15~19세",15730,15032
"송파구","20~24세",18820,19485
"송파구","25~29세",24296,27489
"송파구","30~34세",25190,27450
"송파구","35~39세",27933,29688
"송파구","40~44세",24434,25899
"송파구","45~49세",26683,28428
"송파구","50~54세",24982,26719
"송파구","55~59세",24185,26907
"송파구","60~64세",22099,24747
"송파구","65~69세",15465,16420
"송파구","70~74세",11080,11460
"송파구","75~79세",7005,7621
"송파구","80~84세",3427,4928
"송파구","85세이상",1754,4350
"강동구","합계",204807,210480
"강동구","0~4세",7278,6809
"강동구","5~9세",8592,7890
"강동구","10~14세",8843,7790
"강동구","15~19세",10189,9104
"강동구","20~24세",12321,11719
"강동구","25~29세",15410,15562
"강동구","30~34세",14887,14808
"강동구","35~39세",17418,17238
"강동구","40~44세",15728,15693
"강동구","45~49세",17341,17518
"강동구","50~54세",16215,17233
"강동구","55~59세",17040,18619
"강동구","60~64세",15701,17604
"강동구","65~69세",10936,11708
"강동구","70~74세",8105,8440
"강동구","75~79세",5187,5694
"강동구","80~84세",2425,3761
"강동구","85세이상",1191,3290
"부산광역시","합계",1655566,1717126
"부산광역시","0~4세",55707,52943
"부산광역시","5~9세",67395,63805
"부산광역시","10~14세",64129,60375
"부산광역시","15~19세",82794,76731
"부산광역시","20~24세",118208,107932
"부산광역시","25~29세",119893,105662
"부산광역시","30~34세",100218,92756
"부산광역시","35~39세",124675,118289
"부산광역시","40~44세",118424,114390
"부산광역시","45~49세",134865,136022
"부산광역시","50~54세",131636,141081
"부산광역시","55~59세",141227,155322
"부산광역시","60~64세",135149,150345
"부산광역시","65~69세",97621,108839
"부산광역시","70~74세",71878,84023
"부산광역시","75~79세",52726,69091
"부산광역시","80~84세",27161,45808
"부산광역시","85세이상",11860,33712
"읍부","합계",71577,73151
"읍부","0~4세",3997,3903
"읍부","5~9세",5094,4851
"읍부","10~14세",4189,3833
"읍부","15~19세",3641,3447
"읍부","20~24세",3501,2804
"읍부","25~29세",3883,3360
"읍부","30~34세",4381,4324
"읍부","35~39세",7255,7377
"읍부","40~44세",7210,7041
"읍부","45~49세",6781,6226
"읍부","50~54세",4951,4863
"읍부","55~59세",4383,4602
"읍부","60~64세",3973,4736
"읍부","65~69세",3005,3606
"읍부","70~74세",2328,2763
"읍부","75~79세",1702,2290
"읍부","80~84세",885,1682
"읍부","85세이상",418,1443
"면부","합계",8032,7972
"면부","0~4세",205,199
"면부","5~9세",267,237
"면부","10~14세",182,194
"면부","15~19세",272,160
"면부","20~24세",407,303
"면부","25~29세",508,334
"면부","30~34세",389,354
"면부","35~39세",550,422
"면부","40~44세",507,374
"면부","45~49세",575,504
"면부","50~54세",616,624
"면부","55~59세",799,844
"면부","60~64세",850,933
"면부","65~69세",651,745
"면부","70~74세",562,604
"면부","75~79세",393,517
"면부","80~84세",211,351
"면부","85세이상",88,273
"동부","합계",1575957,1636003
"동부","0~4세",51505,48841
"동부","5~9세",62034,58717
"동부","10~14세",59758,56348
"동부","15~19세",78881,73124
"동부","20~24세",114300,104825
"동부","25~29세",115502,101968
"동부","30~34세",95448,88078
"동부","35~39세",116870,110490
"동부","40~44세",110707,106975
"동부","45~49세",127509,129292
"동부","50~54세",126069,135594
"동부","55~59세",136045,149876
"동부","60~64세",130326,144676
"동부","65~69세",93965,104488
"동부","70~74세",68988,80656
"동부","75~79세",50631,66284
"동부","80~84세",26065,43775
"동부","85세이상",11354,31996
"중구","합계",20861,21097
"중구","0~4세",373,276
"중구","5~9세",434,389
"중구","10~14세",417,432
"중구","15~19세",688,707
"중구","20~24세",1279,1309
"중구","25~29세",1767,1497
"중구","30~34세",1455,1026
"중구","35~39세",1510,1091
"중구","40~44세",1463,1072
"중구","45~49세",1730,1491
"중구","50~54세",1679,1645
"중구","55~59세",1831,1971
"중구","60~64세",1955,2210
"중구","65~69세",1499,1719
"중구","70~74세",1111,1474
"중구","75~79세",947,1253
"중구","80~84세",487,819
"중구","85세이상",236,716
"서구","합계",51645,54202
"서구","0~4세",1295,1146
"서구","5~9세",1633,1526
"서구","10~14세",1585,1554
"서구","15~19세",2197,2218
"서구","20~24세",3558,3680
"서구","25~29세",3652,3349
"서구","30~34세",2920,2427
"서구","35~39세",3419,3103
"서구","40~44세",3397,2954
"서구","45~49세",4184,3800
"서구","50~54세",4120,3976
"서구","55~59세",4710,4873
"서구","60~64세",4543,5259
"서구","65~69세",3571,4163
"서구","70~74세",2822,3471
"서구","75~79세",2212,3136
"서구","80~84세",1277,2113
"서구","85세이상",550,1454
"동구","합계",41817,43856
"동구","0~4세",1058,896
"동구","5~9세",1097,1060
"동구","10~14세",1072,1061
"동구","15~19세",1646,1518
"동구","20~24세",2331,2216
"동구","25~29세",2896,2789
"동구","30~34세",2631,2272
"동구","35~39세",2991,2479
"동구","40~44세",2826,2374
"동구","45~49세",3416,3003
"동구","50~54세",3378,3300
"동구","55~59세",3694,3941
"동구","60~64세",3877,4336
"동구","65~69세",3064,3537
"동구","70~74세",2389,3118
"동구","75~79세",1920,2833
"동구","80~84세",1075,1870
"동구","85세이상",456,1253
"영도구","합계",59370,58589
"영도구","0~4세",1181,1218
"영도구","5~9세",1641,1580
"영도구","10~14세",1652,1579
"영도구","15~19세",3262,2552
"영도구","20~24세",5589,3835
"영도구","25~29세",3980,2761
"영도구","30~34세",3013,2280
"영도구","35~39세",3546,3032
"영도구","40~44세",3612,3175
"영도구","45~49세",4578,4052
"영도구","50~54세",4603,4454
"영도구","55~59세",5218,5458
"영도구","60~64세",5469,6144
"영도구","65~69세",4206,4789
"영도구","70~74세",3338,4220
"영도구","75~79세",2587,3713
"영도구","80~84세",1366,2278
"영도구","85세이상",529,1469
"부산진구","합계",169565,182825
"부산진구","0~4세",5280,5014
"부산진구","5~9세",6026,5872
"부산진구","10~14세",5652,5615
"부산진구","15~19세",8099,8207
"부산진구","20~24세",12311,13081
