행정구역별(읍면동),2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019
행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명)
중구,78334,38087,40247,77234,37361,39873,75324,36422,38902,76935,37209,39726,75561,36413,39148
동구,339608,168319,171289,341583,168800,172783,340396,167950,172446,342396,168812,173584,337439,165927,171512
서구,202963,102410,100553,197210,99299,97911,191414,96275,95139,183857,92304,91553,175243,87869,87374
남구,160164,77484,82680,155833,75199,80634,152785,73530,79255,150132,72097,78035,147500,70522,76978
북구,450579,226389,224190,446632,223896,222736,445293,222709,222584,444759,222248,222511,446050,222873,223177
수성구,437328,214012,223316,432714,211632,221082,425546,207706,217840,418834,204032,214802,415283,202137,213146
달서구,607224,303973,303251,596901,298250,298651,583043,290940,292103,576746,287606,289140,574390,285722,288668
달성군,189852,97837,92015,212895,109296,103599,239240,122794,116446,250753,128469,122284,258474,132291,126183
인천광역시,2890451,1455017,1435434,2913024,1465699,1447325,2925967,1472081,1453886,2936117,1476097,1460020,2952237,1484528,1467709
읍부,21089,10530,10559,21310,10638,10672,21519,10658,10861,21526,10629,10897,21707,10746,10961
면부,59844,31395,28449,60336,31781,28555,61512,32371,29141,62113,32732,29381,62568,32961,29607
동부,2809518,1413092,1396426,2831378,1423280,1408098,2842936,1429052,1413884,2852478,1432736,1419742,2867962,1440821,1427141
중구,112910,58048,54862,113135,58364,54771,115153,59415,55738,119514,61843,57671,131863,68277,63586
동구,71054,35690,35364,69449,34899,34550,68171,34284,33887,65185,32761,32424,63003,31760,31243
남구,405746,205639,200107,416414,210957,205457,421851,213845,208006,0,0,0,0,0,0
연수구,317172,158521,158651,329886,164549,165337,337595,168613,168982,349963,174622,175341,374413,186902,187511
남동구,527324,265206,262118,528939,265857,263082,534050,268108,265942,537389,269790,267599,533119,267291,265828
부평구,548461,272632,275829,544319,270273,274046,538236,266995,271241,525014,260408,264606,514385,254711,259674
계양구,327311,163077,164234,323196,160863,162333,318104,158179,159925,307598,152614,154984,298912,148434,150478
서구,499540,254279,245261,506040,257518,248522,509776,259613,250163,532713,271338,261375,540655,275606,265049
미추홀구,0,0,0,0,0,0,0,0,0,415102,209360,205742,411612,207840,203772
